table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_quickmemo_memo_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_quickmemo_memo_extrafields-quickmemo.sql	启用	主键在建表文件中定义
llx_quickmemo_memo_extrafields	uk_memo_fk_object	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_quickmemo_memo_extrafields-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo_user	idx_quickmemo_memo_rowid	INDEX	N	fk_memo	htdocs/install/mysql/tables/llx_quickmemo_memo_user-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo_user	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_quickmemo_memo_user-quickmemo.sql	启用	主键在建表文件中定义
llx_quickmemo_memo_user	uk_memo_user	INDEX	Y	fk_memo, fk_user	htdocs/install/mysql/tables/llx_quickmemo_memo_user-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo	idx_quickmemo_memo_element	INDEX	N	fk_element, element_type	htdocs/install/mysql/tables/llx_quickmemo_memo-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo	idx_quickmemo_memo_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_quickmemo_memo-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo	idx_quickmemo_memo_status	INDEX	N	status	htdocs/install/mysql/tables/llx_quickmemo_memo-quickmemo.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_quickmemo_memo	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_quickmemo_memo-quickmemo.sql	启用	主键在建表文件中定义
llx_reception_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_reception_extrafields.sql	启用	主键在建表文件中定义
llx_reception_extrafields	uk_reception_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_reception_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	idx_reception_fk_shipping_method	INDEX	N	fk_shipping_method	htdocs/install/mysql/tables/llx_reception.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	idx_reception_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_reception.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	idx_reception_fk_user_author	INDEX	N	fk_user_author	htdocs/install/mysql/tables/llx_reception.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	idx_reception_fk_user_valid	INDEX	N	fk_user_valid	htdocs/install/mysql/tables/llx_reception.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	idx_reception_uk_ref	INDEX	Y	ref, entity	htdocs/install/mysql/tables/llx_reception.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_reception	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_reception.sql	启用	主键在建表文件中定义
llx_receptiondet_batch_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_receptiondet_batch_extrafields.sql	启用	主键在建表文件中定义
llx_receptiondet_batch_extrafields	uk_receptiondet_batch_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_receptiondet_batch_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_receptiondet_batch	idx_receptiondet_batch_fk_element	INDEX	N	fk_element	htdocs/install/mysql/tables/llx_receptiondet_batch.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_receptiondet_batch	idx_receptiondet_batch_fk_elementdet	INDEX	N	fk_elementdet	htdocs/install/mysql/tables/llx_receptiondet_batch.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_receptiondet_batch	idx_receptiondet_batch_fk_product	INDEX	N	fk_product	htdocs/install/mysql/tables/llx_receptiondet_batch.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_receptiondet_batch	idx_receptiondet_batch_fk_reception	INDEX	N	fk_reception	htdocs/install/mysql/tables/llx_receptiondet_batch.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_receptiondet_batch	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_receptiondet_batch.sql	启用	主键在建表文件中定义
llx_recruitment_recruitmentcandidature_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature_extrafields-recruitment.sql	启用	主键在建表文件中定义
llx_recruitment_recruitmentcandidature_extrafields	uk_recruitmentcandidature_fk_object	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature_extrafields-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentcandidature	idx_recruitment_recruitmentcandidature_ref	INDEX	N	ref	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentcandidature	idx_recruitment_recruitmentcandidature_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentcandidature	idx_recruitment_recruitmentcandidature_status	INDEX	N	status	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentcandidature	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature-recruitment.sql	启用	主键在建表文件中定义
llx_recruitment_recruitmentcandidature	uk_recruitmentcandidature_email_msgid	INDEX	Y	email_msgid	htdocs/install/mysql/tables/llx_recruitment_recruitmentcandidature-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition_extrafields-recruitment.sql	启用	主键在建表文件中定义
